iter	Passed	Remaining
409	4152	36359
410	4163	36354
411	4171	36329
412	4179	36301
413	4187	36273
414	4196	36250
415	4204	36219
416	4211	36187
417	4219	36157
418	4227	36131
419	4236	36108
420	4244	36084
421	4253	36062
422	4261	36036
423	4269	36012
424	4277	35983
425	4285	35953
426	4294	35931
427	4302	35905
428	4309	35874
429	4317	35842
430	4325	35816
431	4334	35802
432	4343	35777
433	4350	35745
434	4359	35731
435	4368	35709
436	4376	35684
437	4385	35660
438	4393	35634
439	4400	35601
440	4408	35578
441	4418	35570
442	4427	35546
443	4435	35522
444	4442	35491
445	4450	35466
446	4458	35437
447	4466	35411
448	4474	35388
449	4482	35362
450	4493	35358
451	4501	35333
452	4509	35307
453	4517	35285
454	4524	35252
455	4532	35225
456	4542	35215
457	4549	35183
458	4560	35182
459	4568	35155
460	4577	35142
461	4585	35115
462	4592	35082
463	4601	35065
464	4610	35047
465	4618	35028
466	4627	35010
467	4635	34987
468	4644	34964
469	4653	34948
470	4663	34939
471	4671	34918
472	4679	34892
473	4687	34870
474	4696	34852
475	4704	34831
476	4712	34806
477	4720	34782
478	4728	34758
479	4736	34735
480	4743	34704
481	4750	34676
482	4758	34649
483	4768	34640
484	4777	34622
485	4785	34603
486	4793	34576
487	4800	34550
488	4808	34522
489	4816	34499
490	4825	34484
491	4834	34470
492	4843	34454
493	4851	34433
494	4859	34410
495	4867	34388
496	4876	34368
497	4885	34352
498	4892	34326
499	4901	34308
500	4910	34291
501	4917	34268
502	4926	34253
503	4935	34234
504	4944	34220
505	4952	34200
506	4959	34171
507	4968	34155
508	4978	34141
509	4985	34118
510	4994	34101
511	5002	34077
512	5010	34057
513	5018	34036
514	5026	34011
515	5036	34004
516	5046	33994
517	5054	33973
518	5060	33944
519	5070	33932
520	5079	33918
521	5090	33913
522	5099	33901
523	5107	33880
524	5115	33860
525	5123	33838
526	5130	33811
527	5138	33786
528	5147	33777
529	5154	33744
530	5162	33723
531	5170	33706
532	5180	33697
533	5189	33680
534	5198	33668
535	5206	33650
536	5218	33652
537	5226	33632
538	5235	33616
539	5243	33596
540	5250	33571
541	5259	33558
542	5268	33539
543	5276	33519
544	5283	33495
545	5293	33487
546	5300	33461
547	5308	33439
548	5317	33423
549	5324	33397
550	5331	33375
551	5340	33360
552	5350	33349
553	5358	33333
554	5367	33315
555	5375	33296
556	5386	33293
557	5394	33276
558	5402	33257
559	5412	33251
560	5421	33235
561	5429	33215
562	5438	33203
563	5447	33185
564	5455	33168
565	5463	33149
