iter	MAE	RMSE
0	0.1377323329	0.163929861
5	0.1295113396	0.1542686612
10	0.1217893754	0.1451973332
15	0.1146073792	0.136745391
20	0.1078975611	0.128861369
25	0.1016000802	0.1214792264
30	0.09571915349	0.1145694289
35	0.09019559314	0.1080769249
40	0.08497642487	0.1019680307
45	0.08007560597	0.09623383707
50	0.07551487007	0.09089752912
55	0.07123669001	0.08590188355
60	0.06716816785	0.08117874868
65	0.06341402059	0.07679460386
70	0.05982477182	0.07265034181
75	0.05644679033	0.06876646002
80	0.05332088908	0.06515559328
85	0.05034540655	0.06171890107
90	0.0475699723	0.05853810589
95	0.044988508	0.05555740356
100	0.0425643711	0.05277335476
105	0.04029343318	0.05017292438
110	0.03812897326	0.04770910276
115	0.03611619157	0.04540714896
120	0.03422052377	0.04322790184
125	0.03248705583	0.041237858
130	0.03083618173	0.03935887309
135	0.02928639071	0.03757823277
140	0.027822291	0.03590149943
145	0.02646858311	0.03435183285
150	0.02520018402	0.03289642182
155	0.024017285	0.03152697143
160	0.0229184446	0.03025018608
165	0.02186273326	0.02903617792
170	0.02089098724	0.02791668464
175	0.01998477564	0.02686548736
180	0.01912802799	0.02587397827
185	0.0183286419	0.02494859095
190	0.01758830491	0.02408154469
195	0.01689147483	0.02325588413
200	0.01623054092	0.0224880196
205	0.01562716916	0.02177544699
210	0.01506816149	0.02110069081
215	0.01453882122	0.02045994928
220	0.01405354765	0.01987088319
225	0.01360240693	0.01930591793
230	0.01316522816	0.01876680784
235	0.01278768275	0.01829015688
240	0.01241089189	0.01781654059
245	0.01205480839	0.01735427296
250	0.01173228395	0.01693460299
255	0.01143043189	0.01653028394
260	0.01114446721	0.01614796525
265	0.0108766617	0.01578478167
270	0.01063059682	0.01545008428
275	0.01039239457	0.01512229111
280	0.01018432039	0.01483015646
285	0.009976783829	0.01453775927
290	0.009779695413	0.01424971904
295	0.009586243264	0.01397286982
300	0.009420788496	0.0137301377
305	0.009262220242	0.01349636227
310	0.009115849457	0.01328545762
315	0.008978044538	0.01308685571
320	0.00883819699	0.01287844985
325	0.00870202536	0.01266723482
330	0.008573354256	0.01246852773
335	0.008446925789	0.012275918
340	0.008332059785	0.01210567838
345	0.008218252706	0.011929241
350	0.008096378318	0.01174514715
355	0.007991309707	0.01158790897
360	0.00789904558	0.01144340084
365	0.007813701204	0.01130287789
370	0.007735054998	0.01117694385
375	0.00764034473	0.01102722243
380	0.007566917347	0.01091033518
385	0.007484098998	0.01077467542
390	0.007401864341	0.01065046198
395	0.007317885023	0.0105166062
400	0.007240614371	0.010396003
405	0.007166841787	0.01028344475
410	0.007094087895	0.01017066654
415	0.007022153854	0.01005736338
420	0.006964445333	0.009968523312
425	0.006902906371	0.009874599434
430	0.006836008639	0.009771613789
435	0.006784475823	0.009688753743
440	0.006725073371	0.009596315297
445	0.006661961181	0.009500550306
450	0.006608412558	0.009414816354
455	0.006549685929	0.009324191865
460	0.006488849613	0.009231369255
465	0.006441044028	0.009155998641
470	0.006379338879	0.00906500141
475	0.006324916176	0.008979020933
480	0.006285076439	0.008914834544
485	0.006224589988	0.008826265402
490	0.006183858677	0.008761112288
495	0.006141127304	0.008696066663
500	0.006091036515	0.008616142322
505	0.006037625506	0.008537423605
510	0.005987348705	0.008461120672
515	0.005948378383	0.008403987881
520	0.005906881451	0.008339657243
525	0.005858082831	0.008261979551
530	0.005820172017	0.008202603895
535	0.005777384082	0.008140368852
540	0.005737257456	0.008076234978
545	0.005703323444	0.008025837137
550	0.005669860583	0.007974039428
555	0.005621471306	0.007901545501
560	0.005575955588	0.007834220054
565	0.005526604182	0.007764190814
570	0.005490210617	0.007706355797
575	0.005448807565	0.007646938528
580	0.005400695847	0.007577980948
585	0.005366963008	0.007526863105
590	0.005325480653	0.007466468101
595	0.005298082707	0.007421051101
600	0.005261536951	0.007367501516
605	0.005222784711	0.007310517029
610	0.005185099561	0.007255011868
615	0.005145018999	0.007199052512
620	0.005109357236	0.007149925405
625	0.005076527049	0.007100669801
630	0.005048422375	0.007058435116
635	0.005020730541	0.007013249406
640	0.004996740282	0.006978546465
645	0.004964784758	0.006934464567
650	0.004937666704	0.006893543496
655	0.004904659251	0.006845985243
660	0.004877236523	0.006803739378
665	0.004845327939	0.006757615817
670	0.00479381903	0.006684320194
675	0.00476356939	0.006639519896
680	0.004722807758	0.006584035145
685	0.004684864582	0.00652918236
690	0.004647755251	0.006477561264
695	0.004617401527	0.006435684849
700	0.004591623456	0.006396072016
705	0.00456229921	0.006353318312
710	0.004536416763	0.00631475542
715	0.004512962089	0.006279706853
720	0.004490122012	0.006245621419
725	0.0044579831	0.006198751386
730	0.004427344527	0.00615555543
735	0.004402540831	0.006118642592
740	0.004372935818	0.006077381747
745	0.004349884656	0.006040350934
750	0.004324641005	0.006004620045
755	0.004298425311	0.005965642135
760	0.004274474412	0.005932975139
765	0.004248851157	0.005893794911
770	0.004223747743	0.005860703948
775	0.004197519804	0.005820660073
780	0.004179481336	0.005794261313
785	0.004147447967	0.005750611726
790	0.004127881462	0.005722461523
795	0.004094897917	0.005675757576
800	0.004073315897	0.005644765461
805	0.004048920669	0.005611429797
810	0.004023060672	0.005574580523
815	0.003997824018	0.005539478194
820	0.003977981411	0.005511521063
825	0.003957246356	0.005479879658
830	0.00392884488	0.005442381211
835	0.003905291952	0.005409173166
840	0.003881869058	0.005377513016
845	0.003847083707	0.005328378589
850	0.003817505226	0.005287615609
855	0.003794792266	0.005253256564
860	0.003769725588	0.005218126354
865	0.003739186727	0.005176001304
870	0.003709116685	0.005135554815
875	0.003686714231	0.005104243558
880	0.003662570322	0.005072494089
885	0.003643194203	0.005045633058
890	0.003616161574	0.00500739757
895	0.003590330441	0.004973563184
900	0.003565301665	0.004936067558
905	0.003547679536	0.004910736798
910	0.003518063444	0.004869406386
915	0.003494535007	0.004837668284
920	0.003479165427	0.004815560556
925	0.003454418293	0.004779664289
930	0.003422673854	0.004737357295
935	0.003406331066	0.0047146971
940	0.003383216928	0.004683637374
945	0.003356747874	0.004649492065
950	0.003328785186	0.004612273636
955	0.003304327566	0.004577795073
960	0.003283826338	0.004551027217
965	0.003258661114	0.004517902496
970	0.003242758865	0.004494744318
975	0.003222526158	0.004466238223
980	0.00319717609	0.00443377675
