iter	Passed	Remaining
0	553	553320
1	1124	561287
2	1629	541639
3	2071	515796
4	2464	490436
5	2784	461314
6	3104	440418
7	3323	412115
8	3599	396347
9	3881	384265
10	4502	404799
11	4760	391937
12	5081	385805
13	5468	385133
14	5725	376002
15	6038	371355
16	6654	384789
17	7009	382408
18	7245	374101
19	7461	365637
20	7699	358950
21	7932	352624
22	8217	349074
23	8612	350251
24	9183	358174
25	9636	360980
26	9942	358308
27	10301	357609
28	10549	353241
29	10805	349373
30	11008	344105
31	11295	341678
32	11658	341638
33	12218	347153
34	12683	349691
35	13082	350314
36	13464	350449
37	13808	349566
38	14128	348140
39	14360	344645
40	14730	344552
41	15034	342925
42	15220	338742
43	15324	332965
44	15408	327010
45	15591	323347
46	15706	318465
47	15932	316002
48	16127	313000
49	16334	310354
50	16427	305677
51	16544	301627
52	16710	298590
53	16813	294541
54	17019	292431
55	17157	289219
56	17249	285380
57	17382	282317
58	17487	278904
59	17640	276373
60	17792	273881
61	17892	270693
62	18066	268704
63	18257	267017
64	18353	264002
65	18532	262260
66	18646	259653
67	18828	258056
68	19151	258409
69	19357	257182
70	19493	255066
71	19768	254794
72	20081	255009
73	20411	255420
74	20732	255704
75	21124	256833
76	21615	259104
77	22077	260963
78	22458	261828
79	22555	259385
80	22769	258334
81	23102	258638
82	23371	258215
83	23642	257816
84	24212	260636
85	24520	260602
86	24759	259829
87	24914	258200
88	25190	257847
89	25442	257253
90	25704	256758
91	26098	257580
92	26457	258028
93	26594	256321
94	27238	259484
95	27824	262017
96	27978	260461
97	28363	261063
98	28604	260326
99	28847	259625
100	29100	259025
101	29303	257984
102	29457	256536
103	29810	256825
104	30455	259599
105	30760	259429
106	30973	258495
107	31184	257562
108	31300	255858
109	31616	255808
110	31862	255187
111	31990	253642
112	32324	253733
113	32656	253802
114	33134	254988
115	33461	255000
116	33715	254453
117	33828	252857
118	34111	252536
119	34329	251749
120	34515	250736
121	34807	250499
122	35326	251877
123	35872	253425
124	36138	252972
125	36618	254001
126	36999	254338
127	37611	256230
128	37937	256153
129	38189	255574
130	38374	254559
131	38637	254072
132	38797	252910
133	39061	252440
134	39297	251796
135	39563	251346
136	39970	251786
137	40011	249923
138	40169	248816
139	40244	247216
140	40383	246023
141	40490	244656
142	40606	243356
143	40667	241746
144	40819	240694
145	40901	239244
146	41068	238309
147	41135	236808
148	41266	235688
149	41391	234553
150	41480	233223
151	41606	232118
152	41728	231009
153	41871	230020
154	41982	228870
155	42145	228018
156	42266	226948
157	42401	225964
158	42561	225122
159	42656	223947
160	42837	223233
161	42906	221948
162	43052	221072
163	43127	219844
164	43261	218928
165	43329	217691
166	43527	217117
167	43871	217268
168	44101	216852
169	44338	216474
170	44514	215805
171	44714	215253
172	44953	214892
173	45207	214606
174	45456	214293
175	45830	214569
176	46100	214355
177	46480	214645
178	46738	214369
179	46942	213848
180	47229	213704
181	47478	213391
182	47709	212997
183	48076	213207
184	48356	213029
185	48988	214392
186	49469	215073
187	49924	215631
188	50486	216639
189	50764	216416
190	51055	216252
191	51378	216219
192	51640	215926
193	51949	215833
194	52187	215442
195	52652	215983
196	53218	216927
197	53655	217332
198	53930	217075
199	54160	216641
200	54532	216773
201	54826	216590
202	55224	216818
203	55485	216502
204	55936	216925
205	56538	217919
206	56968	218241
207	57390	218524
208	57617	218065
209	57887	217767
210	58221	217709
211	58518	217513
212	58842	217412
213	59043	216860
214	59658	217824
215	60253	218698
216	60693	219001
217	60907	218484
218	61135	218020
219	61444	217847
220	61680	217416
221	61869	216823
222	62331	217182
223	62954	218093
224	63174	217601
225	63480	217405
226	63838	217389
227	64084	216989
228	64362	216695
229	64671	216510
230	65153	216895
231	65258	216029
232	65439	215416
233	65824	215478
234	66136	215295
235	66423	215031
236	66749	214892
237	66949	214350
238	67445	214751
239	67750	214543
240	68165	214678
241	68486	214514
242	68667	213915
243	68893	213457
244	69286	213516
245	69559	213204
246	69874	213018
247	70259	213044
248	70420	212394
249	70533	211599
250	70660	210854
251	70798	210146
252	70860	209220
253	71026	208605
254	71125	207797
255	71282	207164
256	71388	206387
257	71523	205699
258	71563	204743
259	71685	204027
260	71783	203249
261	71951	202671
262	72065	201949
263	72237	201389
264	72431	200894
265	72494	200041
266	72702	199592
267	72844	198964
268	72959	198264
269	73160	197804
270	73326	197251
271	73537	196819
272	73625	196065
273	73834	195635
274	74022	195151
275	74287	194869
276	74573	194644
277	74737	194101
278	75051	193949
279	75344	193743
280	75740	193798
281	75984	193465
282	76223	193117
283	76645	193233
284	77214	193713
285	77753	194111
286	77988	193749
287	78041	192935
288	78232	192467
289	78383	191905
290	78495	191249
291	78676	190762
292	78837	190232
293	78933	189546
294	79082	188994
295	79236	188454
296	79338	187794
297	79464	187195
298	79574	186560
299	79741	186062
300	79823	185371
301	79981	184858
302	80057	184158
303	80204	183625
304	80355	183104
305	80448	182455
306	80607	181956
307	80678	181264
308	80790	180667
309	80881	180026
310	81069	179603
311	81228	179118
312	81448	178769
313	81652	178388
314	81831	177951
315	82175	177873
316	82449	177643
317	82718	177403
318	82949	177079
319	83279	176968
320	83606	176848
321	83844	176542
322	84230	176544
323	84725	176773
324	85348	177263
325	85728	177241
326	85994	176986
327	86321	176853
328	86630	176684
329	86960	176555
330	87578	177008
331	88037	177136
332	88413	177092
333	88718	176905
334	89006	176683
335	89381	176634
336	89758	176587
337	90092	176453
338	90280	176033
339	90339	175365
340	90488	174873
341	90571	174257
342	90749	173826
343	90916	173374
344	90995	172759
345	91168	172323
346	91337	171882
347	91450	171338
348	91629	170918
349	91726	170349
350	91908	169938
351	92058	169470
352	92177	168947
353	92324	168478
354	92507	168076
355	92671	167640
356	92796	167137
357	92985	166751
358	93186	166385
359	93376	166002
360	93622	165720
361	93831	165371
362	94060	165059
363	94350	164853
364	94680	164718
365	94934	164449
366	95193	164189
367	95421	163876
368	95828	163868
369	96363	164077
370	96776	164076
371	97139	163988
372	97439	163791
373	97641	163432
374	97990	163318
375	98486	163445
376	99133	163820
377	99365	163506
378	99456	162961
379	99689	162652
380	99917	162332
381	100077	161906
382	100231	161468
383	100335	160954
384	100517	160567
385	100680	160150
386	100818	159694
387	100987	159289
388	101137	158856
389	101239	158348
390	101415	157959
391	101585	157560
392	101759	157171
393	101877	156694
394	102051	156306
395	102266	155982
396	102462	155629
397	102674	155301
398	102927	155036
399	103247	154871
400	103542	154668
401	103863	154504
402	104199	154360
403	104516	154188
404	104844	154030
405	105267	154011
406	105795	154144
407	106090	153935
408	106268	153556
409	106385	153090
410	106531	152668
411	106686	152260
412	106802	151799
413	106919	151339
414	106935	150740
415	107111	150367
416	107233	149920
417	107395	149531
418	107488	149046
419	107694	148721
420	107844	148318
421	107957	147866
422	108054	147393
423	108295	147118
424	108496	146789
425	108549	146261
426	108751	145935
427	108921	145567
428	109057	145155
429	109197	144749
430	109398	144426
431	109628	144141
432	109865	143864
433	110062	143537
