iter	Passed	Remaining
0	633	632711
1	1080	539104
2	1632	542569
3	2235	556690
4	2774	552218
5	3216	532846
6	3763	533909
7	4013	497731
8	4345	478541
9	4694	464714
10	5007	450244
11	5275	434357
12	5701	432848
13	6158	433738
14	6712	440790
15	7153	439914
16	7485	432861
17	7759	423316
18	8068	416601
19	8363	409812
20	8641	402845
21	8918	396472
22	9553	405826
23	10163	413328
24	10635	414766
25	11055	414170
26	11327	408208
27	11558	401232
28	11833	396234
29	12244	395916
30	12517	391277
31	12787	386806
32	13326	390515
33	13930	395795
34	14380	396480
35	14826	397033
36	15297	398137
37	15793	399829
38	16167	398393
39	16655	399728
40	16947	396411
41	17496	399091
42	17948	399457
43	18423	400293
44	18925	401638
45	19450	403383
46	19980	405134
47	20093	398522
48	20239	392814
49	20329	386268
50	20488	381239
51	20577	375146
52	20719	370215
53	20809	364545
54	20953	360024
55	21041	354702
56	21188	350542
57	21291	345797
58	21478	342570
59	21630	338881
60	21830	336048
61	21935	331862
62	22135	329224
63	22272	325736
64	22370	321788
65	22520	318700
66	22649	315407
67	22780	312229
68	22838	308154
69	23044	306161
70	23161	303060
71	23257	299764
72	23386	296978
73	23503	294116
74	23552	290484
75	23720	288386
76	23974	287388
77	24183	285863
78	24500	285630
79	24733	284434
80	24933	282886
81	25207	282200
82	25473	281432
83	25691	280163
84	25913	278955
85	26039	276745
86	26439	277461
87	26996	279780
88	27509	281582
89	27970	282808
90	28462	284316
91	28685	283117
92	29023	283055
93	29236	281794
94	29432	280387
95	29554	278303
96	29758	277031
97	30025	276354
98	30400	276674
99	30807	277269
100	31037	276263
101	31202	274706
102	31325	272803
103	31478	271197
104	31521	268679
105	31736	267661
106	31800	265402
107	31939	263797
108	32016	261711
109	32183	260391
110	32222	258067
111	32383	256758
112	32472	254893
113	32626	253567
114	32725	251847
115	32820	250113
116	32881	248159
117	33068	247170
118	33190	245724
119	33328	244409
120	33475	243184
121	33559	241518
122	33690	240215
123	33898	239477
124	34021	238149
125	34204	237259
126	34296	235754
127	34445	234660
128	34584	233514
129	34835	233131
130	35019	232302
131	35250	231799
132	35561	231817
133	35790	231301
134	35936	230257
135	36173	229806
136	36413	229381
137	36642	228882
138	37033	229391
139	37506	230397
140	38136	232335
141	38486	232544
142	38872	232965
143	39105	232462
144	39380	232209
145	39761	232574
146	40018	232216
147	40192	231377
148	40306	230205
149	40441	229166
150	40525	227855
151	40663	226862
152	40799	225864
153	40913	224760
154	41087	223991
155	41185	222823
156	41240	221439
157	41365	220440
158	41518	219605
159	41653	218679
160	41779	217721
161	41929	216896
162	42097	216169
163	42205	215143
164	42350	214319
165	42455	213301
166	42627	212628
167	42712	211530
168	42811	210509
169	42921	209559
170	43024	208581
171	43193	207933
172	43288	206931
173	43447	206248
174	43654	205798
175	43763	204891
176	44092	205015
177	44307	204610
178	44608	204600
179	44912	204602
180	45214	204590
181	45457	204310
182	45702	204039
183	46203	204901
184	46598	205283
185	46766	204665
186	46841	203648
187	47063	203272
188	47132	202245
189	47273	201532
190	47436	200922
191	47521	199987
192	47698	199443
193	47772	198476
194	47947	197938
195	48095	197291
196	48240	196636
197	48368	195916
198	48478	195130
199	48609	194437
200	48656	193415
201	48847	192969
202	49001	192385
203	49162	191831
204	49303	191200
205	49443	190573
206	49515	189690
207	49713	189294
208	49800	188479
209	49968	187977
210	50194	187692
211	50381	187268
212	50638	187100
213	50801	186590
214	51082	186509
215	51299	186198
216	51606	186213
217	51885	186122
218	52080	185728
219	52415	185835
220	52648	185580
221	52894	185369
222	53386	186015
223	53891	186694
224	54397	187369
225	54897	188012
226	55411	188693
227	55974	189527
228	56485	190175
229	56735	189941
230	56858	189283
231	57114	189069
232	57343	188765
233	57558	188419
234	57755	188013
235	58089	188051
236	58494	188319
237	59141	189351
238	59714	190136
239	60268	190850
240	60836	191597
241	61378	192252
242	61721	192276
243	61924	191863
244	62416	192344
245	62976	193024
246	63418	193337
