iter	Passed	Remaining
399	95620	143430
400	95860	143193
401	95955	142739
402	96079	142330
403	96207	141929
404	96408	141637
405	96537	141239
406	96736	140945
407	96978	140713
408	97187	140434
409	97437	140215
410	97659	139955
411	97813	139597
412	98127	139469
413	98484	139400
414	98774	139236
415	99072	139082
416	99425	139005
417	99836	139007
418	100377	139186
419	100703	139066
420	100904	138773
421	101114	138493
422	101420	138343
423	101604	138029
424	101961	137947
425	102504	138116
426	103104	138357
427	103440	138242
428	103786	138139
429	104062	137942
430	104375	137794
431	104726	137696
432	105036	137542
433	105277	137298
434	105657	137233
435	105908	137001
436	106089	136678
437	106367	136481
438	106717	136374
439	107105	136315
440	107473	136230
441	107811	136106
442	108035	135836
443	108293	135611
444	108569	135406
445	108871	135235
446	109053	134914
447	109214	134568
448	109323	134158
449	109501	133834
450	109636	133459
451	109758	133070
452	109918	132727
453	110063	132367
454	110285	132100
455	110400	131706
456	110534	131334
457	110739	131049
458	110873	130681
459	111015	130322
460	111183	129995
461	111272	129576
462	111395	129199
463	111467	128764
464	111569	128364
465	111694	127993
466	111709	127496
467	111881	127181
468	112092	126911
469	112251	126581
470	112305	126134
471	112394	125729
472	112583	125436
473	112779	125151
474	112867	124748
475	112997	124392
476	113132	124042
477	113283	123711
478	113576	123534
479	113784	123267
480	114010	123017
481	114223	122754
482	114583	122649
483	114904	122501
484	115230	122358
485	115686	122351
486	115975	122167
487	116304	122024
488	116585	121830
489	116778	121544
490	116984	121273
491	117231	121044
492	117260	120590
493	117707	120566
494	118304	120694
495	118551	120463
496	118716	120149
497	118906	119861
498	119026	119504
499	119218	119218
500	119335	118859
501	119410	118458
502	119542	118116
503	119682	117783
504	119856	117483
505	120022	117176
506	120122	116805
507	120313	116524
508	120513	116251
509	120655	115923
510	120789	115588
511	120915	115247
512	121013	114880
513	121209	114606
514	121448	114373
515	121631	114088
516	121795	113785
517	121907	113435
518	122098	113159
519	122282	112876
520	122469	112596
521	122552	112222
522	122773	111975
523	123143	111862
524	123251	111513
525	123589	111371
526	123884	111190
527	124227	111051
528	124467	110820
529	124681	110566
530	124880	110299
531	125173	110115
532	125691	110127
533	126038	109988
534	126340	109809
535	126660	109646
536	126906	109418
537	127183	109217
538	127578	109116
539	128083	109107
540	128430	108964
541	128640	108703
542	128895	108480
543	129125	108237
544	129212	107874
545	129417	107610
546	129613	107340
547	130036	107256
548	130140	106909
549	130355	106654
550	130628	106447
551	130925	106257
552	131053	105933
553	131348	105742
554	131624	105537
